CPU:0 [LOST 34738 EVENTS]
 0)               |        put_prev_entity() {
 0)               |          update_curr() {
 0)   0.141 us    |            update_min_vruntime();
 0)   0.165 us    |            cpuacct_charge();
 0)               |            __cgroup_account_cputime() {
 0)   0.135 us    |              cgroup_rstat_updated();
 0)   0.398 us    |            }
 0)   1.245 us    |          }
 0)   0.134 us    |          check_cfs_rq_runtime();
 0)   0.143 us    |          __enqueue_entity();
 0)   0.158 us    |          __update_load_avg_se();
 0)   0.157 us    |          __update_load_avg_cfs_rq();
 0)   2.650 us    |        }
 0)               |        put_prev_entity() {
 0)               |          update_curr() {
 0)   0.132 us    |            update_min_vruntime();
 0)   0.404 us    |          }
 0)   0.134 us    |          check_cfs_rq_runtime();
 0)   0.136 us    |          __enqueue_entity();
 0)   0.139 us    |          __update_load_avg_se();
 0)   0.150 us    |          __update_load_avg_cfs_rq();
 0)   1.782 us    |        }
 0)               |        put_prev_entity() {
 0)               |          update_curr() {
 0)   0.135 us    |            update_min_vruntime();
 0)   0.396 us    |          }
 0)   0.135 us    |          check_cfs_rq_runtime();
 0)   0.138 us    |          __enqueue_entity();
 0)   0.142 us    |          __update_load_avg_se();
 0)   0.149 us    |          __update_load_avg_cfs_rq();
 0)   1.749 us    |        }
 0)               |        put_prev_entity() {
 0)   0.143 us    |          update_curr();
 0)   0.136 us    |          check_cfs_rq_runtime();
 0)   0.183 us    |          __enqueue_entity();
 0)   0.136 us    |          __update_load_avg_se();
 0)   0.138 us    |          __update_load_avg_cfs_rq();
 0)   1.525 us    |        }
 0)               |        set_next_entity() {
 0)   0.144 us    |          __update_load_avg_se();
 0)   0.135 us    |          __update_load_avg_cfs_rq();
 0)   1.031 us    |        }
 0) + 10.948 us   |      }
 0)   0.137 us    |      enter_lazy_tlb();
 ------------------------------------------
 0)  test_wr-2961  =>   rcu_sch-10  
 ------------------------------------------

 0)   0.169 us    |      finish_task_switch();
 0) # 3596.271 us |    }
 0)               |    del_timer_sync() {
 0)               |      try_to_del_timer_sync() {
 0)               |        lock_timer_base() {
 0)   0.138 us    |          _raw_spin_lock_irqsave();
 0)   0.419 us    |        }
 0)   0.148 us    |        detach_if_pending();
 0)   0.140 us    |        _raw_spin_unlock_irqrestore();
 0)   1.245 us    |      }
 0)   1.538 us    |    }
 0) # 3600.890 us |  } /* schedule_timeout */
 0)               |  prepare_to_swait_event() {
 0)   0.136 us    |    _raw_spin_lock_irqsave();
 0)   0.138 us    |    _raw_spin_unlock_irqrestore();
 0)   0.690 us    |  }
 0)               |  finish_swait() {
 0)   0.136 us    |    _raw_spin_lock_irqsave();
 0)   0.140 us    |    _raw_spin_unlock_irqrestore();
 0)   0.670 us    |  }
 0)   0.135 us    |  _raw_spin_lock_irq();
 0)   0.137 us    |  _raw_spin_lock_irq();
 0)               |  __note_gp_changes() {
 0)               |    rcu_advance_cbs() {
 0)   0.136 us    |      rcu_segcblist_pend_cbs();
 0)   0.140 us    |      rcu_segcblist_advance();
 0)               |      rcu_accelerate_cbs() {
 0)   0.225 us    |        rcu_segcblist_pend_cbs();
 0)   0.145 us    |        rcu_segcblist_accelerate();
 0)   0.758 us    |      }
 0)   1.563 us    |    }
 0)   1.851 us    |  }
 0)               |  _cond_resched() {
 0)   0.134 us    |    rcu_all_qs();
 0)   0.406 us    |  }
 0)   0.136 us    |  _raw_spin_lock_irq();
 0)               |  rcu_accelerate_cbs() {
 0)   0.135 us    |    rcu_segcblist_pend_cbs();
 0)   0.137 us    |    rcu_segcblist_accelerate();
 0)   0.664 us    |  }
 0)   0.134 us    |  _raw_spin_lock_irq();
 0)   0.142 us    |  rcu_jiffies_till_stall_check();
 0)   0.136 us    |  _raw_spin_lock();
 0)   0.135 us    |  _raw_spin_lock_irq();
 0)   0.138 us    |  _raw_spin_lock_irqsave();
 0)               |  __note_gp_changes() {
 0)               |    rcu_accelerate_cbs() {
 0)   0.134 us    |      rcu_segcblist_pend_cbs();
 0)   0.142 us    |      rcu_segcblist_accelerate();
 0)   0.678 us    |    }
 0)   0.961 us    |  }
 0)               |  _cond_resched() {
 0)   0.135 us    |    rcu_all_qs();
 0)   0.396 us    |  }
 0)               |  prepare_to_swait_event() {
 0)   0.136 us    |    _raw_spin_lock_irqsave();
 0)   0.139 us    |    _raw_spin_unlock_irqrestore();
 0)   0.667 us    |  }
 0)               |  schedule_timeout() {
 0)               |    lock_timer_base() {
 0)   0.136 us    |      _raw_spin_lock_irqsave();
 0)   0.398 us    |    }
 0)   0.139 us    |    detach_if_pending();
 0)   0.135 us    |    get_nohz_timer_target();
 0)               |    __internal_add_timer() {
 0)   0.136 us    |      calc_wheel_index();
 0)   0.419 us    |    }
 0)   0.139 us    |    trigger_dyntick_cpu.isra.36();
 0)   0.139 us    |    _raw_spin_unlock_irqrestore();
 0)               |    schedule() {
 0)   0.137 us    |      rcu_note_context_switch();
 0)   0.134 us    |      _raw_spin_lock();
 0)   0.149 us    |      update_rq_clock();
 0)               |      deactivate_task() {
 0)               |        psi_task_change() {
 0)   0.154 us    |          record_times();
 0)   0.480 us    |        }
 0)               |        dequeue_task_fair() {
 0)               |          dequeue_entity() {
 0)               |            update_curr() {
 0)   0.141 us    |              update_min_vruntime();
 0)   0.151 us    |              cpuacct_charge();
 0)   0.812 us    |            }
 0)   0.146 us    |            __update_load_avg_se();
 0)   0.146 us    |            __update_load_avg_cfs_rq();
 0)   0.134 us    |            clear_buddies();
 0)   0.153 us    |            account_entity_dequeue();
 0)   0.138 us    |            update_cfs_group();
 0)   0.143 us    |            update_min_vruntime();
 0)   2.737 us    |          }
 0)   0.132 us    |          hrtick_update();
 0)   3.329 us    |        }
 0)   4.242 us    |      }
 0)               |      pick_next_task_fair() {
 0)   0.131 us    |        check_cfs_rq_runtime();
 0)               |        pick_next_entity() {
 0)   0.132 us    |          clear_buddies();
 0)   0.407 us    |        }
 0)               |        put_prev_entity() {
 0)   0.133 us    |          check_cfs_rq_runtime();
 0)   0.407 us    |        }
 0)               |        set_next_entity() {
 0)   0.143 us    |          __update_load_avg_se();
 0)   0.135 us    |          __update_load_avg_cfs_rq();
 0)   0.703 us    |        }
 0)   2.329 us    |      }
 0)   0.130 us    |      enter_lazy_tlb();
 ------------------------------------------
 0)   rcu_sch-10   =>   ksoftir-9   
 ------------------------------------------

 0)   0.156 us    |  finish_task_switch();
 0)   0.313 us    |  kthread_should_stop();
 0)   0.133 us    |  kthread_should_park();
 0)   0.134 us    |  ksoftirqd_should_run();
 0)               |  run_ksoftirqd() {
 0)               |    __do_softirq() {
 0)               |      rcu_process_callbacks() {
 0)   0.151 us    |        note_gp_changes();
 0)   0.141 us    |        _raw_spin_lock_irqsave();
 0)               |        rcu_accelerate_cbs() {
 0)   0.134 us    |          rcu_segcblist_pend_cbs();
 0)   0.141 us    |          rcu_segcblist_accelerate();
 0)   0.694 us    |        }
 0)               |        rcu_report_qs_rnp() {
 0)   0.137 us    |          _raw_spin_unlock_irqrestore();
 0)               |          rcu_gp_kthread_wake() {
 0)               |            swake_up_one() {
 0)   0.137 us    |              _raw_spin_lock_irqsave();
 0)               |              swake_up_locked.part.3() {
 0)               |                wake_up_process() {
 0)               |                  try_to_wake_up() {
 0)   0.135 us    |                    _raw_spin_lock_irqsave();
 0)   0.135 us    |                    _raw_spin_lock();
 0)   0.151 us    |                    update_rq_clock();
 0)               |                    ttwu_do_activate() {
 0)               |                      activate_task() {
 0)               |                        psi_task_change() {
 0)   0.158 us    |                          record_times();
 0)   0.438 us    |                        }
 0)               |                        enqueue_task_fair() {
 0)               |                          enqueue_entity() {
 0)               |                            update_curr() {
 0)   0.146 us    |                              update_min_vruntime();
 0)   0.226 us    |                              cpuacct_charge();
 0)   0.862 us    |                            }
 0)   0.154 us    |                            __update_load_avg_se();
 0)   0.142 us    |                            __update_load_avg_cfs_rq();
 0)   0.139 us    |                            update_cfs_group();
 0)   0.149 us    |                            account_entity_enqueue();
 0)   0.152 us    |                            __enqueue_entity();
 0)   2.504 us    |                          }
 0)   0.277 us    |                          hrtick_update();
 0)   3.203 us    |                        }
 0)   4.044 us    |                      }
 0)               |                      ttwu_do_wakeup() {
 0)               |                        check_preempt_curr() {
 0)               |                          check_preempt_wakeup() {
 0)   0.144 us    |                            update_curr();
 0)   0.136 us    |                            wakeup_preempt_entity.isra.73();
 0)   0.697 us    |                          }
 0)   0.970 us    |                        }
 0)   1.270 us    |                      }
 0)   5.701 us    |                    }
 0)   0.134 us    |                    ttwu_stat();
 0)   0.137 us    |                    _raw_spin_unlock_irqrestore();
 0)   7.331 us    |                  }
 0)   7.588 us    |                }
 0)   7.857 us    |              }
 0)   0.141 us    |              _raw_spin_unlock_irqrestore();
 0)   8.652 us    |            }
 0)   8.926 us    |          }
 0)   9.457 us    |        }
 0)   0.136 us    |        rcu_jiffies_till_stall_check();
 0)   0.134 us    |        rcu_segcblist_ready_cbs();
 0)   0.133 us    |        rcu_segcblist_ready_cbs();
 0)   0.146 us    |        rcu_segcblist_extract_done_cbs();
 0)   0.223 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)   0.156 us    |          kmem_cache_free();
 0)   0.502 us    |        }
 0)   0.223 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)               |          kmem_cache_free() {
 0)   0.141 us    |            __slab_free();
 0)   0.401 us    |          }
 0)   0.669 us    |        }
 0)   0.213 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)               |          kmem_cache_free() {
 0)   0.142 us    |            __slab_free();
 0)   0.401 us    |          }
 0)   0.756 us    |        }
 0)   0.134 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)               |          kmem_cache_free() {
 0)   0.142 us    |            __slab_free();
 0)   0.401 us    |          }
 0)   0.754 us    |        }
 0)   0.220 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)   0.144 us    |          kmem_cache_free();
 0)   0.567 us    |        }
 0)   0.367 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)               |          kmem_cache_free() {
 0)   0.143 us    |            __slab_free();
 0)   0.410 us    |          }
 0)   0.764 us    |        }
 0)   0.223 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)               |          kmem_cache_free() {
 0)   0.142 us    |            __slab_free();
 0)   0.400 us    |          }
 0)   0.753 us    |        }
 0)   0.136 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)   0.144 us    |          kmem_cache_free();
 0)   0.635 us    |        }
 0)   0.134 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)               |          kmem_cache_free() {
 0)   0.142 us    |            __slab_free();
 0)   0.404 us    |          }
 0)   0.666 us    |        }
 0)   0.222 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)   0.147 us    |          kmem_cache_free();
 0)   0.409 us    |        }
 0)   0.144 us    |        rcu_segcblist_insert_done_cbs();
 0)   0.134 us    |        rcu_segcblist_insert_count();
 0)   0.133 us    |        rcu_segcblist_ready_cbs();
 0)   0.146 us    |        raise_softirq();
 0) + 24.718 us   |      }
 0)   0.142 us    |      rcu_softirq_qs();
 0)               |      rcu_process_callbacks() {
 0)   0.143 us    |        note_gp_changes();
 0)   0.134 us    |        rcu_jiffies_till_stall_check();
 0)   0.135 us    |        rcu_segcblist_ready_cbs();
 0)   0.134 us    |        rcu_segcblist_ready_cbs();
 0)   0.136 us    |        rcu_segcblist_extract_done_cbs();
 0)   0.221 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)               |          kmem_cache_free() {
 0)   0.142 us    |            __slab_free();
 0)   0.402 us    |          }
 0)   0.747 us    |        }
 0)   0.134 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)   0.144 us    |          kmem_cache_free();
 0)   0.492 us    |        }
 0)   0.222 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)   0.147 us    |          kmem_cache_free();
 0)   0.410 us    |        }
 0)   0.134 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)   0.145 us    |          kmem_cache_free();
 0)   0.494 us    |        }
 0)   0.229 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)               |          __put_cred() {
 0)               |            call_rcu() {
 0)               |              __call_rcu.constprop.65() {
 0)   0.137 us    |                rcu_segcblist_enqueue();
 0)   0.414 us    |              }
 0)   0.680 us    |            }
 0)   0.947 us    |          }
 0)   0.140 us    |          kmem_cache_free();
 0)   1.505 us    |        }
 0)   0.135 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)   0.136 us    |          kmem_cache_free();
 0)   0.490 us    |        }
 0)   0.224 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)               |          kmem_cache_free() {
 0)   0.154 us    |            __slab_free();
 0)   0.422 us    |          }
 0)   0.779 us    |        }
 0)   0.135 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)   0.144 us    |          kmem_cache_free();
 0)   0.509 us    |        }
 0)   0.135 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)   0.146 us    |          kmem_cache_free();
 0)   0.410 us    |        }
 0)   0.223 us    |        rcu_cblist_dequeue();
 0)               |        file_free_rcu() {
 0)   0.137 us    |          kmem_cache_free();
 0)   0.490 us    |        }
 0)   0.141 us    |        rcu_segcblist_insert_done_cbs();
 0)   0.135 us    |        rcu_segcblist_insert_count();
 0)   0.133 us    |        rcu_segcblist_ready_cbs();
 0)   0.145 us    |        raise_softirq();
 0) + 13.277 us   |      }
